title,document_number,html_url
Establishing the United States Investment Accelerator, 2025-05908,https://www.federalregister.gov/documents/2025/04/03/2025-05908/establishing-the-united-states-investment-accelerator
Addressing Risks From Jenner & Block, 2025-05519,https://www.federalregister.gov/documents/2025/03/28/2025-05519/addressing-risks-from-jenner-and-block
Modernizing Payments To and From America's Bank Account, 2025-05522,https://www.federalregister.gov/documents/2025/03/28/2025-05522/modernizing-payments-to-and-from-americas-bank-account
Preserving and Protecting the Integrity of American Elections, 2025-05523,https://www.federalregister.gov/documents/2025/03/28/2025-05523/preserving-and-protecting-the-integrity-of-american-elections
"Protecting America's Bank Account Against Fraud, Waste, and Abuse", 2025-05524,https://www.federalregister.gov/documents/2025/03/28/2025-05524/protecting-americas-bank-account-against-fraud-waste-and-abuse
Imposing Tariffs on Countries Importing Venezuelan Oil, 2025-05440,https://www.federalregister.gov/documents/2025/03/27/2025-05440/imposing-tariffs-on-countries-importing-venezuelan-oil
Addressing Remedial Action by Paul Weiss, 2025-05291,https://www.federalregister.gov/documents/2025/03/26/2025-05291/addressing-remedial-action-by-paul-weiss
Eliminating Waste and Saving Taxpayer Dollars by Consolidating Procurement, 2025-05197,https://www.federalregister.gov/documents/2025/03/25/2025-05197/eliminating-waste-and-saving-taxpayer-dollars-by-consolidating-procurement
Immediate Measures To Increase American Mineral Production, 2025-05212,https://www.federalregister.gov/documents/2025/03/25/2025-05212/immediate-measures-to-increase-american-mineral-production
"Improving Education Outcomes by Empowering Parents, States, and Communities", 2025-05213,https://www.federalregister.gov/documents/2025/03/25/2025-05213/improving-education-outcomes-by-empowering-parents-states-and-communities
"Stopping Waste, Fraud, and Abuse by Eliminating Information Silos", 2025-05214,https://www.federalregister.gov/documents/2025/03/25/2025-05214/stopping-waste-fraud-and-abuse-by-eliminating-information-silos
Achieving Efficiency Through State and Local Preparedness, 2025-04973,https://www.federalregister.gov/documents/2025/03/21/2025-04973/achieving-efficiency-through-state-and-local-preparedness
Additional Rescissions of Harmful Executive Orders and Actions, 2025-04866,https://www.federalregister.gov/documents/2025/03/20/2025-04866/additional-rescissions-of-harmful-executive-orders-and-actions
Addressing Risks From Paul Weiss, 2025-04867,https://www.federalregister.gov/documents/2025/03/20/2025-04867/addressing-risks-from-paul-weiss
Continuing the Reduction of the Federal Bureaucracy, 2025-04868,https://www.federalregister.gov/documents/2025/03/20/2025-04868/continuing-the-reduction-of-the-federal-bureaucracy
Establishing the White House Task Force on the FIFA World Cup 2026, 2025-04102,https://www.federalregister.gov/documents/2025/03/12/2025-04102/establishing-the-white-house-task-force-on-the-fifa-world-cup-2026
Restoring Public Service Loan Forgiveness, 2025-04103,https://www.federalregister.gov/documents/2025/03/12/2025-04103/restoring-public-service-loan-forgiveness
Addressing Risks From Perkins Coie LLP, 2025-03989,https://www.federalregister.gov/documents/2025/03/11/2025-03989/addressing-risks-from-perkins-coie-llp
Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border, 2025-03990,https://www.federalregister.gov/documents/2025/03/11/2025-03990/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
Amendment to Duties To Address the Flow of Illicit Drugs Across Our Southern Border, 2025-03991,https://www.federalregister.gov/documents/2025/03/11/2025-03991/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-southern-border
Establishment of the Strategic Bitcoin Reserve and United States Digital Asset Stockpile, 2025-03992,https://www.federalregister.gov/documents/2025/03/11/2025-03992/establishment-of-the-strategic-bitcoin-reserve-and-united-states-digital-asset-stockpile
Honoring Jocelyn Nungaray, 2025-03869,https://www.federalregister.gov/documents/2025/03/10/2025-03869/honoring-jocelyn-nungaray
Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China, 2025-03775,https://www.federalregister.gov/documents/2025/03/07/2025-03775/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of
"Addressing the Threat to National Security From Imports of Timber, Lumber, and Their Derivative Products", 2025-03693,https://www.federalregister.gov/documents/2025/03/06/2025-03693/addressing-the-threat-to-national-security-from-imports-of-timber-lumber-and-their-derivative
Designating English as the Official Language of the United States, 2025-03694,https://www.federalregister.gov/documents/2025/03/06/2025-03694/designating-english-as-the-official-language-of-the-united-states
Immediate Expansion of American Timber Production, 2025-03695,https://www.federalregister.gov/documents/2025/03/06/2025-03695/immediate-expansion-of-american-timber-production
Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border, 2025-03728,https://www.federalregister.gov/documents/2025/03/06/2025-03728/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
Amendment to Duties To Address the Situation at Our Southern Border, 2025-03729,https://www.federalregister.gov/documents/2025/03/06/2025-03729/amendment-to-duties-to-address-the-situation-at-our-southern-border
"Implementing the President's ""Department of Government Efficiency"" Cost Efficiency Initiative", 2025-03527,https://www.federalregister.gov/documents/2025/03/03/2025-03527/implementing-the-presidents-department-of-government-efficiency-cost-efficiency-initiative
Addressing the Threat to National Security From Imports of Copper, 2025-03439,https://www.federalregister.gov/documents/2025/02/28/2025-03439/addressing-the-threat-to-national-security-from-imports-of-copper
"Making America Healthy Again by Empowering Patients With Clear, Accurate, and Actionable Healthcare Pricing Information", 2025-03440,https://www.federalregister.gov/documents/2025/02/28/2025-03440/making-america-healthy-again-by-empowering-patients-with-clear-accurate-and-actionable-healthcare
Commencing the Reduction of the Federal Bureaucracy, 2025-03133,https://www.federalregister.gov/documents/2025/02/25/2025-03133/commencing-the-reduction-of-the-federal-bureaucracy
Ending Taxpayer Subsidization of Open Borders, 2025-03137,https://www.federalregister.gov/documents/2025/02/25/2025-03137/ending-taxpayer-subsidization-of-open-borders
"Ensuring Lawful Governance and Implementing the President's ""Department of Government Efficiency"" Deregulatory Initiative", 2025-03138,https://www.federalregister.gov/documents/2025/02/25/2025-03138/ensuring-lawful-governance-and-implementing-the-presidents-department-of-government-efficiency
Ensuring Accountability for All Agencies, 2025-03063,https://www.federalregister.gov/documents/2025/02/24/2025-03063/ensuring-accountability-for-all-agencies
Expanding Access to In Vitro Fertilization, 2025-03064,https://www.federalregister.gov/documents/2025/02/24/2025-03064/expanding-access-to-in-vitro-fertilization
Establishing the National Energy Dominance Council, 2025-02928,https://www.federalregister.gov/documents/2025/02/20/2025-02928/establishing-the-national-energy-dominance-council
Keeping Education Accessible and Ending COVID-19 Vaccine Mandates in Schools, 2025-02931,https://www.federalregister.gov/documents/2025/02/20/2025-02931/keeping-education-accessible-and-ending-covid-19-vaccine-mandates-in-schools
Establishing the President's Make America Healthy Again Commission, 2025-02871,https://www.federalregister.gov/documents/2025/02/19/2025-02871/establishing-the-presidents-make-america-healthy-again-commission
One Voice for America's Foreign Relations, 2025-02841,https://www.federalregister.gov/documents/2025/02/18/2025-02841/one-voice-for-americas-foreign-relations
Eliminating the Federal Executive Institute, 2025-02734,https://www.federalregister.gov/documents/2025/02/14/2025-02734/eliminating-the-federal-executive-institute
Ending Procurement and Forced Use of Paper Straws, 2025-02735,https://www.federalregister.gov/documents/2025/02/14/2025-02735/ending-procurement-and-forced-use-of-paper-straws
Pausing Foreign Corrupt Practices Act Enforcement To Further American Economic and National Security, 2025-02736,https://www.federalregister.gov/documents/2025/02/14/2025-02736/pausing-foreign-corrupt-practices-act-enforcement-to-further-american-economic-and-national-security
"Implementing the President's ""Department of Government Efficiency"" Workforce Optimization Initiative", 2025-02762,https://www.federalregister.gov/documents/2025/02/14/2025-02762/implementing-the-presidents-department-of-government-efficiency-workforce-optimization-initiative
Eradicating Anti-Christian Bias, 2025-02611,https://www.federalregister.gov/documents/2025/02/12/2025-02611/eradicating-anti-christian-bias
Imposing Sanctions on the International Criminal Court, 2025-02612,https://www.federalregister.gov/documents/2025/02/12/2025-02612/imposing-sanctions-on-the-international-criminal-court
Addressing Egregious Actions of the Republic of South Africa, 2025-02630,https://www.federalregister.gov/documents/2025/02/12/2025-02630/addressing-egregious-actions-of-the-republic-of-south-africa
Establishment of the White House Faith Office, 2025-02635,https://www.federalregister.gov/documents/2025/02/12/2025-02635/establishment-of-the-white-house-faith-office
Protecting Second Amendment Rights, 2025-02636,https://www.federalregister.gov/documents/2025/02/12/2025-02636/protecting-second-amendment-rights
Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China, 2025-02512,https://www.federalregister.gov/documents/2025/02/11/2025-02512/amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china
Keeping Men Out of Women's Sports, 2025-02513,https://www.federalregister.gov/documents/2025/02/11/2025-02513/keeping-men-out-of-womens-sports
A Plan for Establishing a United States Sovereign Wealth Fund, 2025-02477,https://www.federalregister.gov/documents/2025/02/10/2025-02477/a-plan-for-establishing-a-united-states-sovereign-wealth-fund
Progress on the Situation at Our Northern Border, 2025-02478,https://www.federalregister.gov/documents/2025/02/10/2025-02478/progress-on-the-situation-at-our-northern-border
Progress on the Situation at Our Southern Border, 2025-02479,https://www.federalregister.gov/documents/2025/02/10/2025-02479/progress-on-the-situation-at-our-southern-border
Withdrawing the United States From and Ending Funding to Certain United Nations Organizations and Reviewing United States Support to All International Organizations, 2025-02504,https://www.federalregister.gov/documents/2025/02/10/2025-02504/withdrawing-the-united-states-from-and-ending-funding-to-certain-united-nations-organizations-and
Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border, 2025-02406,https://www.federalregister.gov/documents/2025/02/07/2025-02406/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
Imposing Duties To Address the Situation at Our Southern Border, 2025-02407,https://www.federalregister.gov/documents/2025/02/07/2025-02407/imposing-duties-to-address-the-situation-at-our-southern-border
Imposing Duties To Address the Synthetic Opioid Supply Chain in the People's Republic of China, 2025-02408,https://www.federalregister.gov/documents/2025/02/07/2025-02408/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china
Unleashing Prosperity Through Deregulation, 2025-02345,https://www.federalregister.gov/documents/2025/02/06/2025-02345/unleashing-prosperity-through-deregulation
Prioritizing Military Excellence and Readiness, 2025-02178,https://www.federalregister.gov/documents/2025/02/03/2025-02178/prioritizing-military-excellence-and-readiness
Reinstating Service Members Discharged Under the Military's COVID-19 Vaccination Mandate, 2025-02180,https://www.federalregister.gov/documents/2025/02/03/2025-02180/reinstating-service-members-discharged-under-the-militarys-covid-19-vaccination-mandate
Restoring America's Fighting Force, 2025-02181,https://www.federalregister.gov/documents/2025/02/03/2025-02181/restoring-americas-fighting-force
The Iron Dome for America, 2025-02182,https://www.federalregister.gov/documents/2025/02/03/2025-02182/the-iron-dome-for-america
Protecting Children From Chemical and Surgical Mutilation, 2025-02194,https://www.federalregister.gov/documents/2025/02/03/2025-02194/protecting-children-from-chemical-and-surgical-mutilation
Additional Measures To Combat Anti-Semitism, 2025-02230,https://www.federalregister.gov/documents/2025/02/03/2025-02230/additional-measures-to-combat-anti-semitism
Celebrating America's 250th Birthday, 2025-02231,https://www.federalregister.gov/documents/2025/02/03/2025-02231/celebrating-americas-250th-birthday
Ending Radical Indoctrination in K-12 Schooling, 2025-02232,https://www.federalregister.gov/documents/2025/02/03/2025-02232/ending-radical-indoctrination-in-k-12-schooling
Expanding Educational Freedom and Opportunity for Families, 2025-02233,https://www.federalregister.gov/documents/2025/02/03/2025-02233/expanding-educational-freedom-and-opportunity-for-families
Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce, 2025-02095,https://www.federalregister.gov/documents/2025/01/31/2025-02095/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce
Restoring Names That Honor American Greatness, 2025-02096,https://www.federalregister.gov/documents/2025/01/31/2025-02096/restoring-names-that-honor-american-greatness
Ending Illegal Discrimination and Restoring Merit-Based Opportunity, 2025-02097,https://www.federalregister.gov/documents/2025/01/31/2025-02097/ending-illegal-discrimination-and-restoring-merit-based-opportunity
Revocation of Certain Executive Orders, 2025-02098,https://www.federalregister.gov/documents/2025/01/31/2025-02098/revocation-of-certain-executive-orders
Designation of Ansar Allah as a Foreign Terrorist Organization, 2025-02103,https://www.federalregister.gov/documents/2025/01/31/2025-02103/designation-of-ansar-allah-as-a-foreign-terrorist-organization
"Declassification of Records Concerning the Assassinations of President John F. Kennedy, Senator Robert F. Kennedy, and the Reverend Dr. Martin Luther King, Jr.", 2025-02116,https://www.federalregister.gov/documents/2025/01/31/2025-02116/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy-senator-robert
President's Council of Advisors on Science and Technology, 2025-02121,https://www.federalregister.gov/documents/2025/01/31/2025-02121/presidents-council-of-advisors-on-science-and-technology
Strengthening American Leadership in Digital Financial Technology, 2025-02123,https://www.federalregister.gov/documents/2025/01/31/2025-02123/strengthening-american-leadership-in-digital-financial-technology
Removing Barriers to American Leadership in Artificial Intelligence, 2025-02172,https://www.federalregister.gov/documents/2025/01/31/2025-02172/removing-barriers-to-american-leadership-in-artificial-intelligence
Council To Assess the Federal Emergency Management Agency, 2025-02173,https://www.federalregister.gov/documents/2025/01/31/2025-02173/council-to-assess-the-federal-emergency-management-agency
Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas, 2025-02174,https://www.federalregister.gov/documents/2025/01/31/2025-02174/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain
Enforcing the Hyde Amendment, 2025-02175,https://www.federalregister.gov/documents/2025/01/31/2025-02175/enforcing-the-hyde-amendment
Protecting the United States From Foreign Terrorists and Other National Security and Public Safety Threats, 2025-02009,https://www.federalregister.gov/documents/2025/01/30/2025-02009/protecting-the-united-states-from-foreign-terrorists-and-other-national-security-and-public-safety
Putting America First in International Environmental Agreements, 2025-02010,https://www.federalregister.gov/documents/2025/01/30/2025-02010/putting-america-first-in-international-environmental-agreements
Realigning the United States Refugee Admissions Program, 2025-02011,https://www.federalregister.gov/documents/2025/01/30/2025-02011/realigning-the-united-states-refugee-admissions-program
Restoring the Death Penalty and Protecting Public Safety, 2025-02012,https://www.federalregister.gov/documents/2025/01/30/2025-02012/restoring-the-death-penalty-and-protecting-public-safety
Securing Our Borders, 2025-02015,https://www.federalregister.gov/documents/2025/01/30/2025-02015/securing-our-borders
Application of Protecting Americans From Foreign Adversary Controlled Applications Act to TikTok, 2025-02087,https://www.federalregister.gov/documents/2025/01/30/2025-02087/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok
Clarifying the Military's Role in Protecting the Territorial Integrity of the United States, 2025-02089,https://www.federalregister.gov/documents/2025/01/30/2025-02089/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states
Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government, 2025-02090,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal
Reevaluating and Realigning United States Foreign Aid, 2025-02091,https://www.federalregister.gov/documents/2025/01/30/2025-02091/reevaluating-and-realigning-united-states-foreign-aid
Reforming the Federal Hiring Process and Restoring Merit to Government Service, 2025-02094,https://www.federalregister.gov/documents/2025/01/30/2025-02094/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service
America First Policy Directive to the Secretary of State, 2025-01952,https://www.federalregister.gov/documents/2025/01/29/2025-01952/america-first-policy-directive-to-the-secretary-of-state
Ending Radical and Wasteful Government DEI Programs and Preferencing, 2025-01953,https://www.federalregister.gov/documents/2025/01/29/2025-01953/ending-radical-and-wasteful-government-dei-programs-and-preferencing
Holding Former Government Officials Accountable for Election Interference and Improper Disclosure of Sensitive Governmental Information, 2025-01954,https://www.federalregister.gov/documents/2025/01/29/2025-01954/holding-former-government-officials-accountable-for-election-interference-and-improper-disclosure-of
Unleashing Alaska's Extraordinary Resource Potential, 2025-01955,https://www.federalregister.gov/documents/2025/01/29/2025-01955/unleashing-alaskas-extraordinary-resource-potential
Unleashing American Energy, 2025-01956,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy
Withdrawing the United States From the World Health Organization, 2025-01957,https://www.federalregister.gov/documents/2025/01/29/2025-01957/withdrawing-the-united-states-from-the-world-health-organization
Declaring a National Energy Emergency, 2025-02003,https://www.federalregister.gov/documents/2025/01/29/2025-02003/declaring-a-national-energy-emergency
Designating Cartels and Other Organizations as Foreign Terrorist Organizations and Specially Designated Global Terrorists, 2025-02004,https://www.federalregister.gov/documents/2025/01/29/2025-02004/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially
"Establishing and Implementing the President's ""Department of Government Efficiency""", 2025-02005,https://www.federalregister.gov/documents/2025/01/29/2025-02005/establishing-and-implementing-the-presidents-department-of-government-efficiency
Protecting the American People Against Invasion, 2025-02006,https://www.federalregister.gov/documents/2025/01/29/2025-02006/protecting-the-american-people-against-invasion
Protecting the Meaning and Value of American Citizenship, 2025-02007,https://www.federalregister.gov/documents/2025/01/29/2025-02007/protecting-the-meaning-and-value-of-american-citizenship
Ending the Weaponization of the Federal Government, 2025-01900,https://www.federalregister.gov/documents/2025/01/28/2025-01900/ending-the-weaponization-of-the-federal-government
Initial Rescissions of Harmful Executive Orders and Actions, 2025-01901,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions
Restoring Freedom of Speech and Ending Federal Censorship, 2025-01902,https://www.federalregister.gov/documents/2025/01/28/2025-01902/restoring-freedom-of-speech-and-ending-federal-censorship
