,document_number,agency,action,due_date,
24,EO-14261,Department of Commerce,Promote and identify export opportunities for coal and coal technologies,Ongoing,,,,,
25,EO-14261,All agencies,Identify existing and potential categorical exclusions under NEPA to Council on Environmental Quality,2025-05-08,,,,,
26,EO-14261,Department of Energy,"Determine if coal used in steel production meets definition of ""critical material"" and add to Critical Materials List if appropriate",Immediate,,,,,
27,EO-14261,Department of Interior,"Determine if metallurgical coal meets criteria as ""critical mineral"" and add to Critical Minerals List if appropriate",Immediate,,,,,
28,EO-14261,Department of Interior,Identify regions where coal-powered infrastructure is suitable for AI data centers and submit report,2025-06-07,,,,,
29,EO-14261,Department of Commerce,Identify regions where coal-powered infrastructure is suitable for AI data centers and submit report,2025-06-07,,,,,
30,EO-14261,Department of Energy,Identify regions where coal-powered infrastructure is suitable for AI data centers and submit report,2025-06-07,,,,,
31,EO-14261,Department of Energy,Take actions to accelerate development/deployment/commercialization of coal technologies,Ongoing,,,,,
32,EO-14261,Department of Energy,Submit detailed action plan for accelerating coal technology deployment,2025-07-07,,,,,
0,EO-14262,Department of Energy,Streamline processes for issuing orders under section 202(c) of the Federal Power Act,Ongoing,,,,,
1,EO-14262,Department of Energy,Develop a uniform methodology for analyzing current and anticipated reserve margins for all regions of the bulk power system regulated by FERC,2025-05-08,,,,,
2,EO-14262,Department of Energy,Publish the reserve margin methodology and its analysis on the Department of Energy's website,2025-07-07,,,,,
3,EO-14262,Department of Energy,Establish a process for regular assessment of the reserve margin methodology and its results,Ongoing,,,,,
4,EO-14262,Department of Energy,Establish a protocol to identify generation resources critical to system reliability,Ongoing,,,,,
5,EO-14262,Department of Energy,Implement mechanisms to ensure critical generation resources are retained in at-risk regions,Ongoing,,,,,
6,EO-14262,Department of Energy,Prevent identified generation resources over 50 MW from leaving the bulk-power system or converting fuel sources if it would reduce capacity,Ongoing,,,,,
0,EO-14258,Department of Justice,Refrain from enforcing the Protecting Americans from Foreign Adversary Controlled Applications Act against TikTok,2025-06-19,,,,,
1,EO-14258,Attorney General,Issue written guidance implementing the enforcement delay,2025-04-04,,,,,
2,EO-14258,Attorney General,Issue letters to each provider stating no violation occurred during specified periods,2025-04-04,,,,,
3,EO-14258,Attorney General,Exercise authority to preserve and defend Executive's exclusive enforcement authority,Ongoing,,,,,
0,EO-14256,Department of Homeland Security,Implement duty collection on low-value PRC products that would otherwise qualify for de minimis exemption,2025-05-02,,,,,
1,EO-14256,Department of Homeland Security,Implement 30% ad valorem duty on postal items from PRC/Hong Kong,2025-05-02,,,,,
2,EO-14256,Department of Homeland Security,Implement $25 specific duty per postal item containing goods from PRC/Hong Kong,2025-05-02,,,,,
3,EO-14256,Department of Homeland Security,Increase specific duty to $50 per postal item containing goods from PRC/Hong Kong,2025-06-01,,,,,
4,EO-14256,Department of Homeland Security,Require international carrier bonds for carriers transporting postal items from PRC/Hong Kong,2025-05-02,,,,,
5,EO-14256,Department of Homeland Security,Establish reporting requirements for carriers transporting postal items from PRC/Hong Kong,2025-05-02,,,,,
6,EO-14256,Department of Homeland Security,Establish monthly payment system for carriers to remit duties to CBP,2025-05-02,,,,,
7,EO-14256,Department of Commerce,Submit report on impact of order on American industries/consumers/supply chains with recommendations for further action,2025-07-01,,,,,
8,EO-14256,United States International Trade Commission,Modify Harmonized Tariff Schedule to reflect actions in the order,Ongoing,,,,,
9,EO-14256,Department of Homeland Security,Take necessary actions to implement the order including adopting rules and regulations,Ongoing,,,,,
0,EO-14257,Secretary of Commerce,Notify the President when adequate systems are in place to process and collect duty revenue for articles eligible for de minimis treatment,Ongoing,,,,,
1,EO-14257,United States Trade Representative,Submit recurring reports to Congress on the national emergency declared in this order,Ongoing,,,,,
2,EO-14257,United States Trade Representative,Submit final report to Congress on the national emergency declared in this order,Ongoing,,,,,
3,EO-14257,"Secretary of Commerce, United States Trade Representative","Recommend additional action if necessary to resolve emergency conditions, in consultation with Secretary of State, Secretary of the Treasury, Secretary of Homeland Security, Assistant to the President for Economic Policy, Senior Counselor for Trade and Manufacturing, and Assistant to the President for National Security Affairs",Ongoing,,,,,
4,EO-14257,"Secretary of Commerce, United States Trade Representative, Secretary of State, Secretary of the Treasury, Secretary of Homeland Security, Assistant to the President for Economic Policy, Senior Counselor for Trade and Manufacturing, Assistant to the President for National Security Affairs, Chair of the International Trade Commission","Employ all powers granted to the President by IEEPA as necessary to implement this order, and take all appropriate measures within authority",Ongoing,,,,,
5,EO-14257,All executive departments and agencies,Take all appropriate measures within authority to implement this order,Ongoing,,,,,
0,EO-14250,Attorney General,Suspend active security clearances held by individuals at WilmerHale,Immediate,,,,,
1,EO-14250,Director of National Intelligence,Suspend active security clearances held by individuals at WilmerHale,Immediate,,,,,
2,EO-14250,All relevant agency heads,Suspend active security clearances held by individuals at WilmerHale,Immediate,,,,,
3,EO-14250,Office of Management and Budget,Identify all Government goods/property/material/services provided for WilmerHale's benefit,Immediate,,,,,
4,EO-14250,All relevant agency heads,Cease provision of government goods/services to WilmerHale,Immediate,,,,,
5,EO-14250,Government contracting agencies,Require contractors to disclose business with WilmerHale,Immediate,,,,,
6,EO-14250,All agency heads,Review all contracts with WilmerHale or entities doing business with WilmerHale,Immediate,,,,,
7,EO-14250,All agency heads,Take steps to terminate contracts where WilmerHale performs services,Immediate,,,,,
8,EO-14250,All agency heads,Submit assessment of contracts with WilmerHale and actions taken,2025-04-26,,,,,
9,EO-14250,All agency heads,Provide guidance limiting WilmerHale employee access to Federal buildings,Immediate,,,,,
10,EO-14250,All agency heads,Provide guidance limiting Government employee engagement with WilmerHale employees,Immediate,,,,,
11,EO-14250,All agency heads,Refrain from hiring WilmerHale employees without agency head waiver,Ongoing,,,,,
12,EO-14250,Director of Office of Personnel Management,Consult on waivers for hiring WilmerHale employees,Ongoing,,,,,
0,EO-14251,Department of Defense,Secretary may issue orders suspending application of section 1-402 to bring subdivisions under Federal Service Labor-Management Relations Statute,2025-04-11,,,,,
1,EO-14251,Department of Veterans Affairs,Secretary may issue orders suspending application of section 1-404 to bring subdivisions under Federal Service Labor-Management Relations Statute,2025-04-11,,,,,
2,EO-14251,Department of Transportation,Secretary may issue orders excluding any subdivision from Federal Service Labor-Management Relations Statute coverage,Ongoing,,,,,
3,EO-14251,All affected agencies,Reassign employees who performed non-agency business to performing solely agency business upon termination of collective bargaining agreements,Upon termination of agreements,,,,,
4,EO-14251,All affected agencies,Terminate agency participation in pending grievance proceedings upon termination of collective bargaining agreements,Upon termination of agreements,,,,,
5,EO-14251,All agencies with employees covered by Chapter 71 of title 5,Submit report identifying agency subdivisions not covered by EO 12171 that have intelligence/security functions,2025-04-26,,,,,
0,EO-14253,Vice President,Work through role on Smithsonian Board of Regents to remove improper ideology from Smithsonian properties,Ongoing,,,,,
1,EO-14253,Vice President,Recommend to the President additional actions necessary to effectuate policies,Ongoing,,,,,
2,EO-14253,Vice President,Work with Congress to ensure future Smithsonian appropriations prohibit expenditure on exhibits that degrade shared American values,Ongoing,,,,,
3,EO-14253,Vice President,Work with Congress to ensure American Women's History Museum celebrates women's achievements and does not recognize men as women,Ongoing,,,,,
4,EO-14253,Office of Management and Budget,Work with Congress to ensure future Smithsonian appropriations prohibit expenditure on exhibits that degrade shared American values,Ongoing,,,,,
5,EO-14253,Office of Management and Budget,Work with Congress to ensure American Women's History Museum celebrates women's achievements and does not recognize men as women,Ongoing,,,,,
6,EO-14253,Office of Management and Budget,Take measures within authority to promote the policy of the order,Ongoing,,,,,
7,EO-14253,Department of the Interior,Take measures within authority to promote the policy of the order,Ongoing,,,,,
8,EO-14253,Vice President,Work with House Speaker and Senate Majority Leader to seek appointment of citizen members to Smithsonian Board of Regents committed to advancing the policy,Ongoing,,,,,
9,EO-14253,Department of the Interior,Provide funding to improve infrastructure of Independence National Historical Park,2026-07-04,,,,,
10,EO-14253,Department of the Interior,Determine if public monuments have been removed or changed to perpetuate false reconstruction of American history since January 1 2020,Ongoing,,,,,
11,EO-14253,Department of the Interior,Reinstate pre-existing monuments as appropriate and consistent with applicable law,Ongoing,,,,,
12,EO-14253,Department of the Interior,Ensure public monuments do not disparage Americans and focus on achievements and progress,Ongoing,,,,,
0,EO-14254,Department of Justice,Ensure competition laws are appropriately enforced in the concert and entertainment industry,Ongoing,,,,,
1,EO-14254,Federal Trade Commission,Ensure competition laws are appropriately enforced in the concert and entertainment industry,Ongoing,,,,,
2,EO-14254,Federal Trade Commission,Rigorously enforce the Better Online Tickets Sales Act,Ongoing,,,,,
3,EO-14254,Federal Trade Commission,Collaborate with State Attorneys General on enforcement of the Better Online Tickets Sales Act,Ongoing,,,,,
4,EO-14254,Federal Trade Commission,Take appropriate action to ensure price transparency in ticket-purchase process,Ongoing,,,,,
5,EO-14254,Federal Trade Commission,Evaluate and take enforcement action to prevent unfair conduct in secondary ticketing market,Ongoing,,,,,
6,EO-14254,Department of Treasury,Ensure ticket scalpers comply with Internal Revenue Code,Ongoing,,,,,
7,EO-14254,Department of Justice,Ensure ticket scalpers comply with applicable law,Ongoing,,,,,
8,EO-14254,Department of Treasury & Department of Justice & Federal Trade Commission,Submit joint report on implementation actions and recommendations for regulations or legislation,2025-09-27,,,,,
0,EO-14246,Attorney General,Suspend active security clearances held by individuals at Jenner & Block pending review,2025-03-25,,,,,
1,EO-14246,Director of National Intelligence,Suspend active security clearances held by individuals at Jenner & Block pending review,2025-03-25,,,,,
2,EO-14246,All relevant agency heads,Suspend active security clearances held by individuals at Jenner & Block pending review,2025-03-25,,,,,
3,EO-14246,Office of Management and Budget,Identify all Government goods/property/material/services provided for Jenner & Block,2025-03-25,,,,,
4,EO-14246,All relevant agency heads,Cease provision of government material or services to Jenner & Block,2025-03-25,,,,,
5,EO-14246,Government contracting agencies,Require contractors to disclose business with Jenner & Block,2025-03-25,,,,,
6,EO-14246,All agency heads,Review all contracts with Jenner & Block or entities doing business with them,2025-03-25,,,,,
7,EO-14246,All agency heads,Take steps to terminate contracts where Jenner & Block performs services,2025-03-25,,,,,
8,EO-14246,All agency heads,Submit assessment of contracts with Jenner & Block and actions taken to OMB,2025-04-24,,,,,
9,EO-14246,All agency heads,Provide guidance limiting Jenner & Block employees' access to Federal buildings,2025-03-25,,,,,
10,EO-14246,All agency heads,Provide guidance limiting government employee engagement with Jenner & Block employees,2025-03-25,,,,,
11,EO-14246,All agency officials,Refrain from hiring Jenner & Block employees without agency head waiver,Ongoing,,,,,
0,EO-14247,Department of the Treasury,Cease issuing paper checks for all Federal disbursements,2025-09-30,,,,,
1,EO-14247,All Executive Departments and Agencies,Transition to EFT methods and enroll recipients in EFT payments,2025-09-30,,,,,
2,EO-14247,All Executive Departments and Agencies,Process all payments to the Federal Government electronically,Ongoing,,,,,
3,EO-14247,Department of State,Eliminate need for Treasury's physical lockbox services and expedite electronic receipt of Federal payments,Ongoing,,,,,
4,EO-14247,Department of the Treasury,Eliminate need for Treasury's physical lockbox services and expedite electronic receipt of Federal payments,Ongoing,,,,,
5,EO-14247,Department of Health and Human Services,Eliminate need for Treasury's physical lockbox services and expedite electronic receipt of Federal payments,Ongoing,,,,,
6,EO-14247,Department of Education,Eliminate need for Treasury's physical lockbox services and expedite electronic receipt of Federal payments,Ongoing,,,,,
7,EO-14247,Department of Veterans Affairs,Eliminate need for Treasury's physical lockbox services and expedite electronic receipt of Federal payments,Ongoing,,,,,
8,EO-14247,Department of Homeland Security,Eliminate need for Treasury's physical lockbox services and expedite electronic receipt of Federal payments,Ongoing,,,,,
9,EO-14247,Department of the Treasury,Support agencies' transition to digital payment methods,Ongoing,,,,,
10,EO-14247,Department of the Treasury,Review and revise procedures for granting limited exceptions to electronic payments,Ongoing,,,,,
11,EO-14247,Department of the Treasury,Develop and implement public awareness campaign about transition to electronic payments,Ongoing,,,,,
12,EO-14247,All Executive Departments and Agencies,Coordinate with Treasury to facilitate transition to digital payments,Ongoing,,,,,
13,EO-14247,Department of the Treasury,Work with stakeholders to address financial access for unbanked populations,Ongoing,,,,,
14,EO-14247,Department of the Treasury,Protect classified information and PII during implementation,Ongoing,,,,,
15,EO-14247,All Executive Departments and Agencies,Protect classified information and PII during implementation,Ongoing,,,,,
16,EO-14247,All Executive Departments and Agencies,Submit compliance plan to OMB for eliminating paper-based transactions,2025-06-23,,,,,
17,EO-14247,Department of the Treasury,Submit implementation report to the President through Assistant for Economic Policy,2025-09-21,,,,,
0,EO-14248,Election Assistance Commission,Require documentary proof of citizenship in national mail voter registration form,2025-04-24,,,,,
1,EO-14248,Election Assistance Commission,Require state officials to record citizenship document details on registration forms,2025-04-24,,,,,
2,EO-14248,Department of Homeland Security,Ensure state and local officials have access to systems for verifying citizenship status,Ongoing,,,,,
3,EO-14248,Department of State,Make relevant citizenship databases available to state and local election officials,Ongoing,,,,,
4,EO-14248,Department of Homeland Security,Review state voter registration lists alongside federal immigration databases,Ongoing,,,,,
5,EO-14248,Department of Homeland Security,Provide information on foreign nationals who indicated they registered/voted to Attorney General,2025-06-23,,,,,
6,EO-14248,Department of Homeland Security,Submit information on foreign nationals who registered/voted to state/local election officials,2025-06-23,,,,,
