,document_number,agency,action,due_date,document_number_bridge_blank,document_number_bridge
5,EO-14268,State,Issue updated guidance to Chiefs of US Diplomatic Missions regarding priority partners list,2025-06-08,,2025-06464,,,,
6,EO-14268,Defense,Develop list of priority end-items for potential transfer to priority partners,2025-06-08,,2025-06464,,,,
7,EO-14268,Defense,Ensure transfer of priority end-items would not harm US force readiness,2025-06-08,,2025-06464,,,,
8,EO-14268,Defense,Ensure transfer of priority end-items advances allied burden-sharing,2025-06-08,,2025-06464,,,,
9,EO-14268,State and Defense,Review update and reissue lists of priority partners and military end-items,Ongoing,,2025-06464,,,,
10,EO-14268,State and Defense,Review and update the FMS-Only List and United States Munitions List,Ongoing,,2025-06464,,,,
11,EO-14268,State and Defense,Establish clear criteria for including items on the FMS-Only List,Ongoing,,2025-06464,,,,
12,EO-14268,State and Defense,Submit plan to improve transparency of US defense sales to foreign partners,2025-07-08,,2025-06464,,,,
13,EO-14268,Defense,Submit plan to develop single electronic system to track all DCS export license requests and FMS efforts,2025-08-07,,2025-06464,,,,
0,EO-14269,APNSA,Submit Maritime Action Plan (MAP) to the President,2025-11-05,,2025-06465,,,,
1,EO-14269,DOD,Provide assessment of options for Maritime Industrial Base investment to APNSA and OMB,2025-10-06,,2025-06465,,,,
2,EO-14269,DOC,Provide assessment of options for Maritime Industrial Base investment to APNSA and OMB,2025-10-06,,2025-06465,,,,
3,EO-14269,DOT,Provide assessment of options for Maritime Industrial Base investment to APNSA and OMB,2025-10-06,,2025-06465,,,,
4,EO-14269,DHS,Provide assessment of options for Maritime Industrial Base investment to APNSA and OMB,2025-10-06,,2025-06465,,,,
5,EO-14269,USTR,Coordinate with agencies to collect information for Section 301 actions against PRC,Ongoing,,2025-06465,,,,
6,EO-14269,USTR,Coordinate with DOJ and DHS to enforce restrictions from Section 301 actions,Ongoing,,2025-06465,,,,
7,EO-14269,USTR,Consider tariffs on PRC ship-to-shore cranes and cargo handling equipment,Ongoing,,2025-06465,,,,
8,EO-14269,DHS,Take steps to require foreign-origin cargo to clear CBP at US ports of entry,Ongoing,,2025-06465,,,,
9,EO-14269,DHS,Ensure assessment of HMF and other charges on cargo arriving via Canada/Mexico,Ongoing,,2025-06465,,,,
10,EO-14269,USTR,Engage allies on trade policies related to maritime sectors,2025-07-08,,2025-06465,,,,
11,EO-14269,USTR,Deliver engagement plan and progress report to the President,2025-07-08,,2025-06465,,,,
12,EO-14269,DOC,Recommend incentives for allied shipbuilders to invest in US,2025-07-08,,2025-06465,,,,
13,EO-14269,OMB,Develop legislative proposal for Maritime Security Trust Fund,Ongoing,,2025-06465,,,,
14,EO-14269,DOT,Submit legislative proposal for shipbuilding financial incentives program,Ongoing,,2025-06465,,,,
15,EO-14269,DOC,Deliver plan for maritime prosperity zones,2025-07-08,,2025-06465,,,,
16,EO-14269,DOT,Deliver report on maritime industry needs,2025-07-08,,2025-06465,,,,
17,EO-14269,DOS,Deliver report on mariner training and education,2025-07-08,,2025-06465,,,,
18,EO-14269,DOD,Deliver report on mariner training and education,2025-07-08,,2025-06465,,,,
19,EO-14269,DOL,Deliver report on mariner training and education,2025-07-08,,2025-06465,,,,
20,EO-14269,DOT,Deliver report on mariner training and education,2025-07-08,,2025-06465,,,,
21,EO-14269,ED,Deliver report on mariner training and education,2025-07-08,,2025-06465,,,,
22,EO-14269,DHS,Deliver report on mariner training and education,2025-07-08,,2025-06465,,,,
23,EO-14269,DOS,Deliver legislative proposal for maritime education initiatives,Ongoing,,2025-06465,,,,
24,EO-14269,DOD,Deliver legislative proposal for maritime education initiatives,Ongoing,,2025-06465,,,,
25,EO-14269,DOL,Deliver legislative proposal for maritime education initiatives,Ongoing,,2025-06465,,,,
26,EO-14269,DOT,Deliver legislative proposal for maritime education initiatives,Ongoing,,2025-06465,,,,
27,EO-14269,ED,Deliver legislative proposal for maritime education initiatives,Ongoing,,2025-06465,,,,
28,EO-14269,DHS,Deliver legislative proposal for maritime education initiatives,Ongoing,,2025-06465,,,,
29,EO-14269,DOT,Hire facilities staff and reprogram resources for USMMA maintenance,2025-05-09,,2025-06465,,,,
30,EO-14269,DOT,Finalize long-term master facilities plan for USMMA modernization,Ongoing,,2025-06465,,,,
31,EO-14269,DOT,Submit 5-year capital improvement plan for USMMA,Ongoing,,2025-06465,,,,
32,EO-14269,DOD,Develop proposal for improved vessel acquisition strategies,2025-07-08,,2025-06465,,,,
33,EO-14269,DOC,Develop proposal for improved vessel acquisition strategies,2025-07-08,,2025-06465,,,,
34,EO-14269,DOT,Develop proposal for improved vessel acquisition strategies,2025-07-08,,2025-06465,,,,
35,EO-14269,DHS,Develop proposal for improved vessel acquisition strategies,2025-07-08,,2025-06465,,,,
36,EO-14269,NSF,Develop proposal for improved vessel acquisition strategies,2025-07-08,,2025-06465,,,,
37,EO-14269,Dept of Govt Efficiency,Review DOD and DHS vessel procurement processes,2025-07-08,,2025-06465,,,,
38,EO-14269,DOT,Deliver legislative proposal to increase US-flagged commercial vessels,2025-10-06,,2025-06465,,,,
39,EO-14269,DOD,Develop strategy for Arctic waterways security,2025-07-08,,2025-06465,,,,
40,EO-14269,DOD,Conduct shipbuilding review and submit report,2025-05-24,,2025-06465,,,,
41,EO-14269,DOC,Conduct shipbuilding review and submit report,2025-05-24,,2025-06465,,,,
42,EO-14269,DOT,Conduct shipbuilding review and submit report,2025-05-24,,2025-06465,,,,
43,EO-14269,DHS,Conduct shipbuilding review and submit report,2025-05-24,,2025-06465,,,,
44,EO-14269,DOD,Review regulations for deregulatory opportunities in maritime sector,2025-05-09,,2025-06465,,,,
45,EO-14269,DOT,Review regulations for deregulatory opportunities in maritime sector,2025-05-09,,2025-06465,,,,
46,EO-14269,DHS,Review regulations for deregulatory opportunities in maritime sector,2025-05-09,,2025-06465,,,,
47,EO-14269,DOD,Conduct review and issue guidance on inactive reserve fleet,2025-07-08,,2025-06465,,,,
0,EO-14270,EPA,Submit list of statutes subject to the order to the President through OMB,2025-05-09,,2025-06466,,,,
1,EO-14270,ACE,Submit list of statutes subject to the order to the President through OMB,2025-05-09,,2025-06466,,,,
2,EO-14270,EPA,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
3,EO-14270,DoE,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
4,EO-14270,FERC,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
5,EO-14270,NRC,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
6,EO-14270,OSMRE,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
7,EO-14270,BLM,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
8,EO-14270,BOEM,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
9,EO-14270,BSEE,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
10,EO-14270,FWS,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
11,EO-14270,ACE,Issue sunset rule for all Covered Regulations,2025-09-30,,2025-06466,,,,
12,EO-14270,All Covered Agencies,Offer public comment opportunity on costs and benefits of each regulation before expiration,Ongoing,,2025-06466,,,,
13,EO-14270,All Covered Agencies,Coordinate with DOGE Team Leads and OMB to implement the order,Ongoing,,2025-06466,,,,
14,EO-14270,All Covered Agencies,Include Conditional Sunset Date in any new Covered Regulation,Ongoing,,2025-06466,,,,
0,EO-14259,Commerce,Implement tariff increase from 34% to 84% on goods from China,2025-04-09,,2025-06378,,,,
1,EO-14259,Homeland Security,Implement tariff increase from 34% to 84% on goods from China,2025-04-09,,2025-06378,,,,
2,EO-14259,USTR,Implement tariff increase from 34% to 84% on goods from China,2025-04-09,,2025-06378,,,,
3,EO-14259,Commerce,Increase ad valorem duty rate from 30% to 90% on de minimis imports,2025-05-02,,2025-06378,,,,
4,EO-14259,Homeland Security,Increase ad valorem duty rate from 30% to 90% on de minimis imports,2025-05-02,,2025-06378,,,,
5,EO-14259,USTR,Increase ad valorem duty rate from 30% to 90% on de minimis imports,2025-05-02,,2025-06378,,,,
6,EO-14259,Commerce,Implement per postal item duty increase from $25 to $75,2025-05-02,,2025-06378,,,,
7,EO-14259,Homeland Security,Implement per postal item duty increase from $25 to $75,2025-05-02,,2025-06378,,,,
8,EO-14259,USTR,Implement per postal item duty increase from $25 to $75,2025-05-02,,2025-06378,,,,
9,EO-14259,Commerce,Implement per postal item duty increase from $50 to $150,2025-06-01,,2025-06378,,,,
10,EO-14259,Homeland Security,Implement per postal item duty increase from $50 to $150,2025-06-01,,2025-06378,,,,
11,EO-14259,USTR,Implement per postal item duty increase from $50 to $150,2025-06-01,,2025-06378,,,,
12,EO-14259,All Executive Departments and Agencies,Take all appropriate measures within authority to implement the order,Ongoing,,2025-06378,,,,
0,EO-14260,Attorney General,Identify all State and local laws burdening domestic energy resources that may be unconstitutional or preempted by Federal law,2025-06-07,,2025-06379,,,,
1,EO-14260,Attorney General,Take appropriate action to stop enforcement of identified illegal State laws,Ongoing,,2025-06379,,,,
2,EO-14260,Attorney General,Submit report to the President regarding actions taken to stop enforcement of illegal State laws,2025-06-07,,2025-06379,,,,
3,EO-14260,Attorney General,Recommend additional Presidential or legislative action to stop enforcement of illegal State laws,2025-06-07,,2025-06379,,,,
0,EO-14261,NEDC Chair,"Designate coal as a ""mineral"" under Executive Order 14241",Immediate,,2025-06380,,,,
1,EO-14261,Department of Interior,Submit consolidated report identifying coal resources and reserves on Federal lands with impediments and proposed policies,2025-06-07,,2025-06380,,,,
2,EO-14261,Department of Agriculture,Submit consolidated report identifying coal resources and reserves on Federal lands with impediments and proposed policies,2025-06-07,,2025-06380,,,,
3,EO-14261,Department of Energy,Submit consolidated report identifying coal resources and reserves on Federal lands with impediments and proposed policies,2025-06-07,,2025-06380,,,,
4,EO-14261,Department of Energy,Include analysis of impact of coal resources on electricity costs and grid reliability in consolidated report,2025-06-07,,2025-06380,,,,
5,EO-14261,Department of Interior,Prioritize coal leasing and related activities on Federal lands,Ongoing,,2025-06380,,,,
6,EO-14261,Department of Agriculture,Prioritize coal leasing and related activities on Federal lands,Ongoing,,2025-06380,,,,
7,EO-14261,Department of Interior,"Publish notice in Federal Register terminating the ""Environmental Impact Statement Analyzing the Potential Environmental Effects from Maintaining Secretary Jewell's Coal Leasing Moratorium""",Immediate,,2025-06380,,,,
8,EO-14261,Department of Interior,Process royalty rate reduction applications from Federal coal lessees expeditiously,Ongoing,,2025-06380,,,,
9,EO-14261,Environmental Protection Agency,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,2025-06380,,,,
10,EO-14261,Department of Transportation,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,2025-06380,,,,
11,EO-14261,Department of Interior,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,2025-06380,,,,
12,EO-14261,Department of Energy,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,2025-06380,,,,
13,EO-14261,Department of Labor,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,2025-06380,,,,
14,EO-14261,Department of Treasury,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,2025-06380,,,,
15,EO-14261,All relevant agencies,Consider revising or rescinding Federal actions that transition away from coal,2025-06-07,,2025-06380,,,,
16,EO-14261,All relevant agencies,Rescind policies discouraging investment in coal production and coal-fired electricity generation,Immediate,,2025-06380,,,,
17,EO-14261,Department of State,Review materials to ensure they don't discourage financing coal projects,2025-05-08,,2025-06380,,,,
18,EO-14261,Department of Agriculture,Review materials to ensure they don't discourage financing coal projects,2025-05-08,,2025-06380,,,,
19,EO-14261,Department of Commerce,Review materials to ensure they don't discourage financing coal projects,2025-05-08,,2025-06380,,,,
20,EO-14261,Department of Energy,Review materials to ensure they don't discourage financing coal projects,2025-05-08,,2025-06380,,,,
21,EO-14261,International Development Finance Corporation,Review materials to ensure they don't discourage financing coal projects,2025-05-08,,2025-06380,,,,
22,EO-14261,Export-Import Bank,Review materials to ensure they don't discourage financing coal projects,2025-05-08,,2025-06380,,,,
23,EO-14261,All relevant agencies,Eliminate identified preferences against coal use,Immediate,,2025-06380,,,,
24,EO-14261,Department of Commerce,Promote and identify export opportunities for coal and coal technologies,Ongoing,,2025-06380,,,,
25,EO-14261,All agencies,Identify existing and potential categorical exclusions under NEPA to Council on Environmental Quality,2025-05-08,,2025-06380,,,,
26,EO-14261,Department of Energy,"Determine if coal used in steel production meets definition of ""critical material""",Immediate,,2025-06380,,,,
27,EO-14261,Department of Interior,"Determine if metallurgical coal meets criteria as ""critical mineral""",Immediate,,2025-06380,,,,
28,EO-14261,Department of Interior,Identify regions where coal-powered infrastructure is suitable for AI data centers,2025-06-07,,2025-06380,,,,
29,EO-14261,Department of Commerce,Identify regions where coal-powered infrastructure is suitable for AI data centers,2025-06-07,,2025-06380,,,,
30,EO-14261,Department of Energy,Identify regions where coal-powered infrastructure is suitable for AI data centers,2025-06-07,,2025-06380,,,,
31,EO-14261,Department of Interior,Submit consolidated report on coal infrastructure for AI data centers to NEDC Chair,2025-06-07,,2025-06380,,,,
32,EO-14261,Department of Commerce,Submit consolidated report on coal infrastructure for AI data centers to NEDC Chair,2025-06-07,,2025-06380,,,,
33,EO-14261,Department of Energy,Submit consolidated report on coal infrastructure for AI data centers to NEDC Chair,2025-06-07,,2025-06380,,,,
34,EO-14261,Department of Energy,Accelerate development and deployment of coal technologies,Ongoing,,2025-06380,,,,
35,EO-14261,Department of Energy,Submit detailed action plan for accelerating coal technology deployment,2025-07-07,,2025-06380,,,,
0,EO-14262,Department of Energy,Streamline processes for issuing orders under section 202(c) of the Federal Power Act,Ongoing,,2025-06381,,,,
1,EO-14262,Department of Energy,Develop a uniform methodology for analyzing current and anticipated reserve margins for all regions of the bulk power system regulated by FERC,2025-05-08,,2025-06381,,,,
2,EO-14262,Department of Energy,Publish the reserve margin methodology and its analysis on the Department of Energy's website,2025-07-07,,2025-06381,,,,
3,EO-14262,Department of Energy,Establish a process for regular assessment of the reserve margin methodology and its results,Ongoing,,2025-06381,,,,
4,EO-14262,Department of Energy,Establish a protocol to identify generation resources critical to system reliability,Ongoing,,2025-06381,,,,
5,EO-14262,Department of Energy,Implement mechanisms to ensure critical generation resources are retained in at-risk regions,Ongoing,,2025-06381,,,,
6,EO-14262,Department of Energy,Prevent identified generation resources over 50 MW from leaving the bulk-power system or converting fuel sources if it would reduce capacity,Ongoing,,2025-06381,,,,
0,EO-14258,Department of Justice,Refrain from enforcing the Protecting Americans from Foreign Adversary Controlled Applications Act against TikTok,2025-06-19,,2025-06162,,,,
1,EO-14258,Attorney General,Issue written guidance implementing the enforcement delay,2025-04-04,,2025-06162,,,,
2,EO-14258,Attorney General,Issue letters to each provider stating no violation occurred during specified periods,2025-04-04,,2025-06162,,,,
3,EO-14258,Attorney General,Exercise authority to preserve and defend Executive's exclusive enforcement authority,Ongoing,,2025-06162,,,,
0,EO-14256,Department of Homeland Security,Implement duty collection on low-value PRC products that would otherwise qualify for de minimis exemption,2025-05-02,,2025-06027,,,,
1,EO-14256,Department of Homeland Security,Begin collecting 30% ad valorem duty on postal items from PRC/Hong Kong,2025-05-02,,2025-06027,,,,
2,EO-14256,Department of Homeland Security,Begin collecting $25 specific duty per postal item from PRC/Hong Kong,2025-05-02,,2025-06027,,,,
3,EO-14256,Department of Homeland Security,Increase specific duty to $50 per postal item from PRC/Hong Kong,2025-06-01,,2025-06027,,,,
4,EO-14256,Department of Homeland Security,Require international carrier bonds for carriers transporting postal items from PRC/Hong Kong,2025-05-02,,2025-06027,,,,
5,EO-14256,Department of Homeland Security,Establish system for carriers to report total number and value of postal items from PRC/Hong Kong,2025-05-02,,2025-06027,,,,
6,EO-14256,Department of Homeland Security,Take all necessary actions to implement the order including adopting rules and regulations,Ongoing,,2025-06027,,,,
7,EO-14256,Department of Commerce,Submit report on impact of the order on American industries consumers and supply chains with recommendations for further action,2025-07-01,,2025-06027,,,,
8,EO-14256,United States International Trade Commission,Modify the Harmonized Tariff Schedule as needed to reflect the actions in the order,Ongoing,,2025-06027,,,,
0,EO-14257,Commerce and USTR,Recommend additional action if necessary to resolve emergency conditions,Ongoing,,2025-06063,,,,
1,EO-14257,Commerce and USTR,Implement the order using powers granted by IEEPA,Ongoing,,2025-06063,,,,
2,EO-14257,USTR,Submit recurring and final reports to Congress on the national emergency,Ongoing,,2025-06063,,,,
3,EO-14257,Commerce,Notify President when adequate systems are in place to process and collect duty revenue for de minimis articles,Ongoing,,2025-06063,,,,
4,EO-14257,CBP,Collect information and documentation to verify U.S. content of imported articles,Ongoing,,2025-06063,,,,
5,EO-14257,All agencies,Take appropriate measures within authority to implement the order,Ongoing,,2025-06063,,,,
6,EO-14257,All importers,Apply 10% additional tariff on all imports,2025-04-05,,2025-06063,,,,
7,EO-14257,All importers,Apply country-specific tariff rates for countries in Annex I,2025-04-09,,2025-06063,,,,
0,EO-14250,Attorney General,Suspend active security clearances held by individuals at WilmerHale,Immediate,,2025-05845,,,,
1,EO-14250,Director of National Intelligence,Suspend active security clearances held by individuals at WilmerHale,Immediate,,2025-05845,,,,
2,EO-14250,All relevant agency heads,Suspend active security clearances held by individuals at WilmerHale,Immediate,,2025-05845,,,,
3,EO-14250,Office of Management and Budget,Identify all Government goods/property/material/services provided for WilmerHale's benefit,Immediate,,2025-05845,,,,
4,EO-14250,All relevant agency heads,Cease provision of government goods/services to WilmerHale,Immediate,,2025-05845,,,,
5,EO-14250,Government contracting agencies,Require contractors to disclose business with WilmerHale,Immediate,,2025-05845,,,,
6,EO-14250,All agency heads,Review all contracts with WilmerHale or entities doing business with WilmerHale,Immediate,,2025-05845,,,,
7,EO-14250,All agency heads,Take steps to terminate contracts where WilmerHale performs services,Immediate,,2025-05845,,,,
8,EO-14250,All agency heads,Submit assessment of contracts with WilmerHale and actions taken to OMB,2025-04-26,,2025-05845,,,,
9,EO-14250,All agency heads,Provide guidance limiting WilmerHale employee access to Federal buildings,Immediate,,2025-05845,,,,
10,EO-14250,All agency heads,Provide guidance limiting Government employee engagement with WilmerHale employees,Immediate,,2025-05845,,,,
11,EO-14250,All agency heads,Refrain from hiring WilmerHale employees without agency head waiver,Ongoing,,2025-05845,,,,
0,EO-14251,Department of Defense,Secretary may issue orders suspending application of section 1-402 to bring subdivisions under Federal Service Labor-Management Relations Statute,2025-04-11,,2025-05836,,,,
1,EO-14251,Department of Veterans Affairs,Secretary may issue orders suspending application of section 1-404 to bring subdivisions under Federal Service Labor-Management Relations Statute,2025-04-11,,2025-05836,,,,
2,EO-14251,Department of Transportation,Secretary may issue orders excluding any subdivision from Federal Service Labor-Management Relations Statute coverage,Ongoing,,2025-05836,,,,
3,EO-14251,All affected agencies,Reassign employees who performed non-agency business to performing solely agency business upon termination of collective bargaining agreements,Upon termination of agreements,,2025-05836,,,,
4,EO-14251,All affected agencies,Terminate agency participation in pending grievance proceedings upon termination of collective bargaining agreements,Upon termination of agreements,,2025-05836,,,,
5,EO-14251,All agencies with employees covered by Chapter 71 of title 5,Submit report identifying agency subdivisions not covered by EO 12171 that have intelligence/security functions,2025-04-26,,2025-05836,,,,
0,EO-14253,Vice President,Work through role on Smithsonian Board of Regents to remove improper ideology from Smithsonian properties,Ongoing,,2025-05838,,,,
1,EO-14253,Vice President,Recommend to the President additional actions necessary to effectuate policies,Ongoing,,2025-05838,,,,
2,EO-14253,Vice President,Work with Congress to ensure future appropriations to Smithsonian prohibit expenditure on exhibits that degrade shared American values,Ongoing,,2025-05838,,,,
3,EO-14253,Vice President,Work with Congress to ensure American Women's History Museum celebrates women's achievements and does not recognize men as women,Ongoing,,2025-05838,,,,
4,EO-14253,Office of Management and Budget,Work with Congress to ensure future appropriations to Smithsonian prohibit expenditure on exhibits that degrade shared American values,Ongoing,,2025-05838,,,,
5,EO-14253,Office of Management and Budget,Work with Congress to ensure American Women's History Museum celebrates women's achievements and does not recognize men as women,Ongoing,,2025-05838,,,,
6,EO-14253,Office of Management and Budget,Take measures within authority to promote the policy of the order,Ongoing,,2025-05838,,,,
7,EO-14253,Department of the Interior,Take measures within authority to promote the policy of the order,Ongoing,,2025-05838,,,,
8,EO-14253,Vice President,Work with House Speaker and Senate Majority Leader to seek appointment of citizen members to Smithsonian Board of Regents committed to advancing the policy,Ongoing,,2025-05838,,,,
9,EO-14253,Department of the Interior,Provide funding to improve infrastructure of Independence National Historical Park,2026-07-04,,2025-05838,,,,
10,EO-14253,Department of the Interior,Determine if public monuments have been removed or changed to perpetuate false reconstruction of American history since January 1 2020,Ongoing,,2025-05838,,,,
11,EO-14253,Department of the Interior,Take action to reinstate pre-existing monuments as appropriate,Ongoing,,2025-05838,,,,
12,EO-14253,Department of the Interior,Ensure public monuments do not disparage Americans and focus on American achievements,Ongoing,,2025-05838,,,,
0,EO-14254,Department of Justice,Ensure competition laws are appropriately enforced in the concert and entertainment industry,Ongoing,,2025-05906,,,,
1,EO-14254,Federal Trade Commission,Ensure competition laws are appropriately enforced in the concert and entertainment industry,Ongoing,,2025-05906,,,,
2,EO-14254,Federal Trade Commission,Rigorously enforce the Better Online Tickets Sales Act,Ongoing,,2025-05906,,,,
3,EO-14254,Federal Trade Commission,Collaborate with State Attorneys General on enforcement of the Better Online Ticket Sales Act,Ongoing,,2025-05906,,,,
4,EO-14254,Federal Trade Commission,Take appropriate action to ensure price transparency in ticket-purchase process,Ongoing,,2025-05906,,,,
5,EO-14254,Federal Trade Commission,Evaluate and take enforcement action to prevent unfair conduct in secondary ticketing market,Ongoing,,2025-05906,,,,
6,EO-14254,Department of the Treasury,Ensure ticket scalpers comply with the Internal Revenue Code,Ongoing,,2025-05906,,,,
7,EO-14254,Department of Justice,Ensure ticket scalpers comply with applicable law,Ongoing,,2025-05906,,,,
8,EO-14254,Department of the Treasury,Submit joint report on implementation actions and recommendations for regulations or legislation,2025-09-27,,2025-05906,,,,
9,EO-14254,Department of Justice,Submit joint report on implementation actions and recommendations for regulations or legislation,2025-09-27,,2025-05906,,,,
10,EO-14254,Federal Trade Commission,Submit joint report on implementation actions and recommendations for regulations or legislation,2025-09-27,,2025-05906,,,,
0,EO-14246,Attorney General,Suspend active security clearances held by individuals at Jenner & Block pending review,2025-03-25,,2025-05519,,,,
1,EO-14246,Director of National Intelligence,Suspend active security clearances held by individuals at Jenner & Block pending review,2025-03-25,,2025-05519,,,,
2,EO-14246,All relevant agency heads,Suspend active security clearances held by individuals at Jenner & Block pending review,2025-03-25,,2025-05519,,,,
3,EO-14246,Office of Management and Budget,Identify all Government goods/property/material/services provided for Jenner & Block,2025-03-25,,2025-05519,,,,
4,EO-14246,All agencies providing material/services to Jenner & Block,Cease provision of government goods/services to Jenner & Block,2025-03-25,,2025-05519,,,,
